words,definition,pos_tag,freq_of_use
sepanjang,[se.pan.jang]  Definisi :1. sejauh mengikut panjang: matanya menyelusur ke ~ tembok itu ia pun menyuruh membuat kubu ~ sungai itu 2. segenap waktu selama seluruh: ~ perjalanan itu mereka terus berbual-bual ia memandang muka kawannya yg ~ masa tunduk sahaja ~ tahun selama setahun penuh 3. mengikut pada: ~ pengetahuan saya penyakit ini tiada namanya dlm bahasa Melayu ~ yg ketahui oleh merekaKamus Dewan Edisi Keempat[se.pan.jang]  Definisi :1 tempat mengikut panjang sesuatu benda sejauh: Raja Haji memerintah rakyatnya membuat kubu di ~ pantai. 2 dr awal hingga ke akhir tidak terputus masanya segenap: Sesiapa yg berbuat jasa mulia namanya ~ masa. 3 menurut apa-apa yg ada pd berdasar pd: ~ pengetahuanku mereka tidak pernah datang ke sini.Kamus Pelajar Edisi Kedua,adjektif,Moderate
kemakmuran,[ke.maÖmu.ran][ke.ma.mu.ran]  Definisi :perihal makmur mewah serba cukup sejahtera dll: ~ sesebuah negeri bergantung terutama sekali pd kerajinan penduduk-penduduk negeri ituKamus Dewan Edisi Keempat[ke.maÖmu.ran][ke.ma.mu.ran]  Definisi :keadaan makmur: ~ sesebuah negeri bergantung pd kerajinan penduduk-penduduknya sendiri.Kamus Pelajar Edisi Kedua,adjektif,Moderate
berpanjangan,[ber.pan.ja.ngan]  Definisi :berlanjut-lanjut berlanjutan tidak berkeputusan berterus-terusan: inginkah saudara soal ini diusut berpanjang-panjangan kemesraan yg ~Kamus Dewan Edisi Keempat[ber.pan.ja.ngan]  Definisi :berlaku terus-menerus tidak ada sudahnya berterusan: Pergaduhan antara dua kumpulan orang Cina itu berlaku ~.Kamus Pelajar Edisi Kedua,adjektif,Moderate
perdana,[per.da.na]  Definisi :1. yg terutama P~ Menteri ketua menteri sesebuah negara mengepalai jemaah menteri 2. yg mula-mula yg pertama sekali pertunjukan tayangan ~ tayangan filem yg pertama kali 3. sl bendahara.Kamus Dewan Edisi Keempat[per.da.na]  Definisi :1 paling tinggi tarafnya atau pangkatnya: ~ Menteri. 2 yg mula-mula yg pertama: tayangan ~ tayangan bagi pertama kalinya.Kamus Pelajar Edisi Kedua,-,-
datuk,[da.tu]  Definisi :1. bapa kpd ayah atau ibu seseorang 2. panggilan oleh seseorang terhadap bapa kpd ayahnya ibunya atau terhadap seseorang lain yg sedemikian tuanya aki kakek ~ nenek nenek moyang leluhur 3. ark panggilan orang ramai kpd anggota polis atau panggilan mata-mata kpd pegawai atasannya 4. Mn penghulu adat 5. hantu puaka penunggu sesuatu tempat: ~ di pokok itu kononnya selalu mengganggu orang-orang yg lalu di situ 6. topekong berhala atau dewa kpd orang Cina yg mempunyai kepercayaan tertentu rumah ~ rumah berhala 7. bp sebutan bagi harimau ~ betina sl ketua dayang-dayang dlm istana ~ kayu ark pegawai dan kakitangan jabatan hutan mendatukkan menjadikan memanggil datuk: Tok Embong dituankan oleh orang-orang suruhannya diayahkan oleh peringkat anak-anak dan didatukkan oleh peringkat cucunya.Kamus Dewan Edisi Keempat[da.tu]  Definisi :1. gelaran kehormat kpd orang yg berpangkat atau bermartabat tinggi yg biasanya menjadi pembesar negeri: ~ Bendahara ~ Paduka Raja ~ Panglima ~ Temenggung 2. gelaran kehormat di Malaysia yg dianugerahkan oleh Yang di-Pertuan Agong Yang Dipertua Negeri Melaka Yang Dipertua Negeri Sarawak dan Yang Dipertua Negeri Sabah kpd orang yg telah dianugerahi pingat tertentu sbg penghargaan terhadap jasa atau khidmatnya kpd negara ~ Bandar ketua pentadbiran sesebuah bandar raya ~ Patinggi gelaran kehormat yg dianugerahkan oleh Yang Dipertua Negeri Sarawak kpd orang yg telah dianugerahi pingat tertentu ~ Seri gelaran kehormat yg dianugerahkan oleh Yang Dipertua Negeri Melaka kpd orang yg telah dianugerahi pingat tertentu.Kamus Dewan Edisi Keempat[da.tu]  Definisi :1 bapa kpd ayah atau ibu sendiri. 2 panggilan utk bapa kpd ayah atau ibu sendiri panggilan utk orang lelaki yg lebih kurang sebaya dgn datuk 1. mendatukkan memanggil seseorang datuk.Kamus Pelajar Edisi Kedua[da.tu]  Definisi :1 gelaran kehormatan yg dianugerahkan oleh Ketua Negara atau Ketua Negeri kpd orang-orang tertentu kerana menghormati jasanya dll: Antara tetamu yg hadir termasuklah ~ Hussein Onn dan isterinya Datin Suhaila. 2 gelaran kehormatan yg diberikan kpd orang-orang yg berpangkat: ~ Bandar ~ Bendahara ~ Panglima.Kamus Pelajar Edisi Kedua,-,-
anwar,-,-,-
ibrahim,-,-,-
madani,[ma.da.ni]  Definisi :Ar maju dr segi pemikiran kerohanian dan kebendaan bkn masyarakat generasi dsb: usaha utk membentuk masyarakat ~ dgn menyemaikan nilai-nilai murni keke-luargaan kurikulum itu juga terarah kpd pembinaan masyarakat ~.Kamus Dewan Edisi Keempat[ma.da.ni]  Definisi :maju dr segi pemikiran kerohanian dan kebendaan bkn masyarakat generasi dsb: Usaha utk membentuk masyarakat ~ dgn menyemai nilai-nilai murni kekeluargaan.Kamus Pelajar Edisi Kedua,-,-
melaksanakan,[me.la.sa.na.kan]  Definisi :1. sl membandingkan dgn mengumpamakan sbg menyamakan: tidak dapat dilaksanakan bulan dan matahari 2. menjalankan tugas rancangan dll mengerjakan menyelesaikan sesuatu tugas dll: akhirnya kami berjaya ~ tugas yg berat iniKamus Dewan Edisi Keempat[me.la.sa.na.kan]  Definisi :1 membandingkan dgn mengumpamakan. 2 menjalankan tugas rancangan dll melakukan: Beta percaya bahawa Laksamana dan Sang Setia dpt ~ pekerjaan ini.Kamus Pelajar Edisi Kedua,-,-
pelbagai,[pel.ba.gai]  Definisi :bagai.Kamus Dewan Edisi Keempat[pel.ba.gai]  Definisi :berbagai-bagai beberapa jenis: tarian Timur lebih ditekankan kpd perasaan sedangkan tarian Barat berpusat pd mutu dinamik ~ tarian ituKamus Dewan Edisi Keempat[pel.ba.gai]  Definisi :berbagai-bagai.Kamus Pelajar Edisi Kedua[pel.ba.gai]  Definisi :banyak jenisnya atau banyak macamnya berbagai-bagai berjenis-jenis bermacam-macam: Taman itu penuh dgn ~ jenis bunga. mempelbagaikan menjadikan banyak jenisnya atau macamnya menjadikan berbagai-bagai. kepelbagaian perihal keadaan pelbagai atau berbagai-bagai.Kamus Pelajar Edisi Kedua,-,-
