words,definition,pos_tag,freq_of_use,kata_dasar,kata_terbitan,num_variations
perdana,[per.da.na]  Definisi :1. yg terutama P~ Menteri ketua menteri sesebuah negara mengepalai jemaah menteri 2. yg mula-mula yg pertama sekali pertunjukan tayangan ~ tayangan filem yg pertama kali 3. sl bendahara.Kamus Dewan Edisi Keempat[per.da.na]  Definisi :1 paling tinggi tarafnya atau pangkatnya: ~ Menteri. 2 yg mula-mula yg pertama: tayangan ~ tayangan bagi pertama kalinya.Kamus Pelajar Edisi Kedua,-,-,-,-,0
datuk,[da.tu]  Definisi :1. bapa kpd ayah atau ibu seseorang 2. panggilan oleh seseorang terhadap bapa kpd ayahnya ibunya atau terhadap seseorang lain yg sedemikian tuanya aki kakek ~ nenek nenek moyang leluhur 3. ark panggilan orang ramai kpd anggota polis atau panggilan mata-mata kpd pegawai atasannya 4. Mn penghulu adat 5. hantu puaka penunggu sesuatu tempat: ~ di pokok itu kononnya selalu mengganggu orang-orang yg lalu di situ 6. topekong berhala atau dewa kpd orang Cina yg mempunyai kepercayaan tertentu rumah ~ rumah berhala 7. bp sebutan bagi harimau ~ betina sl ketua dayang-dayang dlm istana ~ kayu ark pegawai dan kakitangan jabatan hutan mendatukkan menjadikan memanggil datuk: Tok Embong dituankan oleh orang-orang suruhannya diayahkan oleh peringkat anak-anak dan didatukkan oleh peringkat cucunya.Kamus Dewan Edisi Keempat[da.tu]  Definisi :1. gelaran kehormat kpd orang yg berpangkat atau bermartabat tinggi yg biasanya menjadi pembesar negeri: ~ Bendahara ~ Paduka Raja ~ Panglima ~ Temenggung 2. gelaran kehormat di Malaysia yg dianugerahkan oleh Yang di-Pertuan Agong Yang Dipertua Negeri Melaka Yang Dipertua Negeri Sarawak dan Yang Dipertua Negeri Sabah kpd orang yg telah dianugerahi pingat tertentu sbg penghargaan terhadap jasa atau khidmatnya kpd negara ~ Bandar ketua pentadbiran sesebuah bandar raya ~ Patinggi gelaran kehormat yg dianugerahkan oleh Yang Dipertua Negeri Sarawak kpd orang yg telah dianugerahi pingat tertentu ~ Seri gelaran kehormat yg dianugerahkan oleh Yang Dipertua Negeri Melaka kpd orang yg telah dianugerahi pingat tertentu.Kamus Dewan Edisi Keempat[da.tu]  Definisi :1 bapa kpd ayah atau ibu sendiri. 2 panggilan utk bapa kpd ayah atau ibu sendiri panggilan utk orang lelaki yg lebih kurang sebaya dgn datuk 1. mendatukkan memanggil seseorang datuk.Kamus Pelajar Edisi Kedua[da.tu]  Definisi :1 gelaran kehormatan yg dianugerahkan oleh Ketua Negara atau Ketua Negeri kpd orang-orang tertentu kerana menghormati jasanya dll: Antara tetamu yg hadir termasuklah ~ Hussein Onn dan isterinya Datin Suhaila. 2 gelaran kehormatan yg diberikan kpd orang-orang yg berpangkat: ~ Bandar ~ Bendahara ~ Panglima.Kamus Pelajar Edisi Kedua,-,-,-,-,0
anwar,-,-,-,-,-,0
ibrahim,-,-,-,-,-,0
hari,[ha.ri]  Definisi :1 masa dua puluh empat jam yg bermula dr matahari terbit sehingga matahari terbit sekali lagi: Dlm seminggu ada tujuh ~. 2  siang ~ masa dr matahari terbit sehingga matahari terbenam: tiga ~ tiga malam. 3 masa bekerja dlm satu hari: Dia bekerja enam ~ dlm seminggu. 4 keadaan alam cuaca dll dlm sesuatu hari: Apabila ~ hujan dia tidak keluar rumah. ~ akhirat kemudian masa selepas musnahnya atau hancurnya alam ini iaitu selepas hari kiamat. ~ Bapa hari utk mengenang atau memperingati jasa bapa iaitu pd hari Ahad ketiga dlm bulan Jun. ~ besar hari yg dirayakan utk memperingati sesuatu perkara atau peristiwa penting. ~ bulan tarikh dlm sesuatu bulan yg tertentu tanggal. ~ depan masa yg akan datang. ~ Guru hari yg disambut utk mengenang atau memperingati jasa guru iaitu pd 16 Mei. ~ Ibu hari utk mengenang atau memperingati jasa ibu iaitu pd hari Ahad kedua dlm bulan Mei. ~ Ibu Bapa hari perayaan sekolah dan ibu bapa diundang hadir di perayaan itu. ~ jadi lahir a. hari lahirnya seseorang. b. hari ulang tahun kelahiran seseorang. ~ kebangkitan hari apabila manusia dibangkitkan drpd mati utk dihisab segala amalannya. ~ Kebangsaan hari penting yg dirayakan oleh seluruh rakyat. ~ Kemerdekaan Merdeka hari yg dirayakan oleh seluruh rakyat utk memperingati kemerdekaan negara. ~ kiamat hari masa seluruh alam musnah atau hancur setelah malaikat Israfil meniup sangkakala yg pertama. ~ Lebaran Hari Raya Puasa 1 Syawal. ~ muka masa yg akan datang masa depan. ~ pembalasan hari apabila manusia menerima balasan atas segala amalan baik dan buruk yg dilakukan di dunia. ~ Raya hari yg dimuliakan dan dirayakan kerana menandakan tamatnya puasa atau kerana membesarkan hari orang mengerjakan haji. ~ Raya Haji Korban Aidiladha hari raya yg disambut pd 10 Zulhijah iaitu selepas hari wukuf. ~ Raya Puasa Aidilfitri hari raya yg disambut pd tiap-tiap 1 Syawal Lebaran. ~ wukuf hari jemaah haji berkumpul di padang Arafah pd 9 Zulhijah. berhari-hari beberapa hari: Kadang-kadang dia pergi ~ lamanya. harian setiap hari tiap-tiap hari: akhbar ~. sehari satu hari. sehari-hari tiap-tiap hari: Dia membeli barang-barang keperluan ~. seharian sehari-harian sepanjang hari sehari suntuk: Dia berasa terlalu letih setelah bekerja ~.Kamus Pelajar Edisi Kedua,-,-,hari,"sehari-hari, sehari-harian, berhari-hari, harian",4
ini,[i.ni]  Definisi :kata yg digunakan utk menunjuk waktu tempat atau benda yg dekat: Binatang apa ~. sekarang ~ pd masa sekarang petang ~ petang nanti ~ pula istimewa pula lebih-lebih lagi.Kamus Pelajar Edisi Kedua,-,-,-,-,0
mengadakan,[me.nga.da.kan]  Definisi :1. menjadikan ada atau wujud mewujudkan menjadikan menciptakan: Tuhanlah yg ~ seluruh alam ini 2. mengusahakan sehingga ada tersedia terdapat dsb menyediakan: ~ wang yg diperlukan peruntukan belanjawan utk ~ lebih banyak sekolah dan maktab teknik 3. mengusahakan sehingga berlaku atau berjalan sesuatu spt seminar mesyuarat kenduri dll menganjurkan serta mengurus sesuatu: ~ kursus bahasa-bahasa asing ~ kempen kebersihanKamus Dewan Edisi Keempat[me.nga.da.kan]  Definisi :1 menjadikan ada mewujudkan: Tuhanlah yg ~ alam ini. 2 menyebabkan ada menyediakan wang tempat dll menubuhkan persatuan dsb: Mereka berusaha ~ kelas bimbingan utk ahli-ahli persatuan itu.Kamus Pelajar Edisi Kedua,-,-,-,-,0
pertemuan,[per.te.muan]  Definisi :1. perihal bertemu perjumpaan: kenangan beliau kembali kpd ~nya dgn Datuk Bomoh 2. tempat bertemu berkumpul dll: Kuala Lumpur letaknya di ~ Sungai Gombak dgn Sungai Kelang 3. perkumpulan perhimpunan mesyuarat dll: dia mengajak orang-orang yg ada pd ~ itu agar bangkit menentang musuh 4. pergaulan persamaan pendapat dll: aku perlukan engkau dlm soal menghadapi Kadir kita banyak ~ pendapat 5. perjodohan perkahwinan: maka tidaklah syak lagi yg ~ itu sukar berpanjanganKamus Dewan Edisi Keempat[per.te.muan]  Definisi :1 perihal bertemu dgn kawan dll: 2 perjumpaan: Dia masih ingat akan ~nya dgn penghulu kampung itu. 3 tempat bertemu ttg sungai dll: Kuala Lipis letaknya di ~ Sungai Jelai dgn Sungai Lipis.Kamus Pelajar Edisi Kedua,-,-,temu,"bertemu, menemui, menemukan, mempertemukan, pertemuan, penemuan, penemu",7
bersama,[ber.sa.ma]  Definisi :1.  bersama-sama berserta bergandingan dgn serentak dgn: esok harinya Poniem datang ~ anak angkatnya kami mudik bersama-sama ~ surat ini anakanda kembarkan wang lima puluh ringgit 2. semuanya sekali seluruhnya: tempat perun-dingan itu harus dipersetujui ~ oleh kedua-dua belah pihak kedua-dua laki isteri itu pun duduk makan ~ dgn penuh selera 3. utk sesamanya utk sekaliannya: harta ~ kemakmuran ~ 4. bh melakukan hubungan jenis bersetubuh: isteri diwajibkan melayani suami apabila dia mahu ~Kamus Dewan Edisi Keempat[ber.sa.ma]  Definisi :1 melakukan sesuatu pd waktu yg sama berserta: Mereka ~ meneruskan usaha itu. 2 tidak ada kecualinya seluruhnya utk semua: Harta ini milik kita ~. 3 seiring berserta: ~ dgn borang ini saya kepilkan sekeping gambar.Kamus Pelajar Edisi Kedua,-,-,-,-,0
kuala,[kua.la]  Definisi :tempat sungai mengalir masuk ke laut atau tasik muara: pelabuhan itu terletak di ~ sungai bandar ~ bandar yg terletak di kuala atau di muara sungai berkuala bermuara: sungai itu ~ di Selat Melaka.Kamus Dewan Edisi Keempat[kua.la]  Definisi :penduduk asli Semenanjung Malaysia drpd suku kaum Melayu-Proto yg tinggal di kuala sungai di persisiran pantai selatan negeri Johor.Kamus Dewan Edisi Keempat[kua.la]  Definisi :tempat sungai bertemu dgn sungai lain atau dgn laut muara. berkuala ada kualanya bermuara: Sungai Perak ~ di Selat Melaka.Kamus Pelajar Edisi Kedua,kata nama,High,kuala,"berkuala, ke kuala",2
